gen,K1,K2,K3,K4,K5,K6,T1,T2,T3,T4,T5,T6
GEN1816,153,107,119,86,205,249,161,99,146,232,378,218
GEN1817,12,16,10,18,24,30,14,12,23,36,30,21
GEN1818,401,566,327,431,916,1323,3166,1624,1854,5835,1849,2576
GEN1819,2694,1009,960,1601,1427,3305,1715,1448,1724,3074,2873,1198
GEN1820,79,129,140,107,83,219,182,101,91,178,192,92
GEN1821,126,117,59,101,91,98,100,104,96,188,114,108
GEN1822,386,600,320,606,364,798,948,416,379,822,887,506
GEN1823,137,149,136,178,181,577,296,186,145,292,399,220
GEN1824,52,47,75,98,72,148,167,92,120,116,118,122
GEN1825,76,53,38,47,49,64,67,44,83,74,30,64
GEN1826,20,29,27,16,16,31,24,20,14,41,17,27
GEN1827,3,4,7,11,7,17,12,2,7,9,4,5
GEN1828,175,141,220,287,205,571,183,131,253,163,259,166
GEN1829,414,322,520,467,330,1365,696,470,522,935,549,565
GEN1830,8,7,4,11,15,25,16,13,8,18,25,11
GEN1831,60,111,35,53,42,47,89,48,57,94,137,67
GEN1832,59,112,60,124,127,124,44,14,33,56,47,25
GEN1833,23,29,11,22,36,60,56,29,20,64,44,38
GEN1834,18,20,16,17,20,43,22,8,18,32,11,17
GEN1835,42,42,55,44,39,97,58,31,29,65,53,56
GEN1836,2,1,4,2,3,8,2,4,1,8,7,3
GEN1837,25,58,73,30,54,118,58,49,63,98,98,67
GEN1838,31,32,22,44,31,51,67,38,23,59,37,39
GEN1839,1138,1985,2323,739,1769,3438,3462,987,1731,4343,2388,2446
GEN1840,258,246,190,381,299,643,471,208,384,575,405,444
GEN1841,39,48,30,44,40,61,41,34,67,50,100,69
GEN1842,59,40,50,55,57,126,85,42,41,96,108,43
GEN1843,1112,885,794,1351,516,2010,795,1539,952,2140,1626,1254
GEN1844,370,463,323,554,782,1521,1096,760,1074,1944,2700,1199
GEN1845,92,76,121,61,77,208,144,70,133,175,95,89
GEN1846,41,80,38,26,78,87,77,49,36,41,95,71
GEN1847,4,6,2,9,8,6,6,6,4,11,14,14
GEN1848,59,34,25,48,44,49,35,26,41,43,45,35
GEN1849,41,40,38,55,23,144,76,38,83,73,108,43
GEN1850,11,21,11,19,35,41,25,10,27,49,21,24
GEN1851,1052,1230,914,1017,675,2004,1339,1426,635,1960,1682,993
GEN1852,2,0,1,6,5,5,1,2,5,3,8,5
GEN1853,43,46,29,44,77,79,95,73,50,69,65,64
GEN1854,129,78,109,101,161,175,196,156,95,234,250,144
GEN1855,68,97,149,133,113,202,102,105,157,194,241,159
GEN1856,682,1024,812,1773,1134,2047,1256,845,1069,2157,2144,681
GEN1857,2,5,2,9,8,21,6,5,8,4,9,6
GEN1858,24,16,13,18,24,46,15,17,27,32,32,22
GEN1859,58,109,87,90,55,108,112,79,56,58,109,52
GEN1860,67,66,55,78,58,117,51,60,94,133,100,78
GEN1861,20,39,20,52,25,73,162,89,40,172,162,116
GEN1862,11,16,9,23,24,45,20,13,34,47,32,20
GEN1863,457,334,372,393,361,488,400,178,297,640,424,321
GEN1864,18,14,7,14,13,30,12,12,15,19,29,14
GEN1865,21,20,28,41,18,52,36,25,28,38,40,37
GEN1866,509,601,706,783,570,2205,867,434,652,1975,1281,728
GEN1867,590,1199,1449,896,978,1726,1986,1259,949,1461,1349,752
GEN1868,84,165,299,476,270,486,282,191,214,343,248,258
GEN1869,18,10,24,25,9,42,40,18,23,22,18,19
GEN1870,12,14,6,16,15,20,33,14,7,18,28,18
GEN1871,19,8,17,9,7,25,28,22,18,17,31,15
GEN1872,5,6,18,8,12,19,8,8,16,18,11,15
GEN1873,30,31,24,31,22,86,38,33,41,69,54,25
GEN1874,240,343,370,237,345,1093,701,192,625,773,649,504
GEN1875,48,112,60,116,166,96,147,85,83,241,109,64
GEN1876,21,21,21,4,19,49,38,16,15,40,26,27
GEN1877,18,7,10,15,24,32,26,12,7,42,27,14
GEN1878,12,8,15,7,11,33,20,8,10,14,17,17
GEN1879,459,333,313,393,379,806,915,394,527,740,871,323
GEN1880,2,1,4,5,2,5,4,3,5,0,6,2
GEN1881,41,80,56,117,109,93,56,36,17,90,29,44
GEN1882,15,11,7,8,6,10,9,6,6,17,9,6
GEN1883,13,5,12,21,8,17,5,3,2,1,1,3
GEN1884,7,10,0,6,6,17,6,4,6,10,3,6
GEN1885,124,181,281,222,120,740,77,43,67,115,80,50
GEN1886,59,69,57,107,56,138,13,15,9,20,17,10
GEN1887,4982,4898,5591,9345,5341,10187,4449,4451,5201,7122,8543,5253
GEN1888,3,14,6,16,12,27,19,13,11,7,18,15
GEN1889,4,12,12,9,9,27,11,12,7,26,26,7
GEN1890,134,100,164,180,116,250,219,115,255,406,233,163
GEN1891,112,203,112,179,149,300,184,62,116,269,158,183
GEN1892,33,32,32,29,32,60,33,31,32,95,61,43
GEN1893,3,2,2,2,6,2,1,3,0,7,1,2
GEN1894,717,469,389,465,376,1492,1435,410,661,943,1070,1017
GEN1895,165,103,140,129,126,274,274,63,170,212,363,188
GEN1896,146,142,144,120,147,243,192,87,93,227,144,110
GEN1897,16,17,11,27,30,39,51,12,32,31,51,18
GEN1898,142,135,195,215,198,294,283,140,143,473,193,225
GEN1899,15,11,9,15,31,40,36,36,24,49,24,20
GEN1900,48,49,44,52,60,129,74,41,45,189,156,135
GEN1901,53,46,34,38,49,69,42,46,50,94,83,33
GEN1902,482,312,518,274,378,509,689,212,530,828,445,929
GEN1903,14,16,30,35,40,44,40,20,29,37,44,21
GEN1904,21,30,34,45,40,69,39,20,49,73,56,30
GEN1905,191,325,347,329,505,924,516,258,567,576,652,550
GEN1906,115,59,60,83,69,152,132,77,96,145,182,106
GEN1907,68,43,63,40,88,76,52,53,42,114,145,76
GEN1908,37,41,24,47,23,72,58,28,61,52,47,45
GEN1909,180,218,280,444,341,609,387,323,177,365,414,262
GEN1910,16,14,8,26,20,45,27,16,20,46,24,28
GEN1911,151,142,120,118,102,276,212,76,134,232,160,204
GEN1912,1087,1228,964,1132,2200,2346,2231,1530,1515,4056,4331,1619
GEN1913,94,98,152,114,111,238,205,148,132,205,165,137
GEN1914,22,8,5,23,15,35,18,12,15,27,20,20
GEN1915,5,14,1,18,4,19,10,4,10,25,24,14
GEN1916,82,67,74,105,51,66,76,82,54,132,68,124
GEN1917,5,10,4,14,13,17,9,10,5,8,9,4
GEN1918,5,7,5,1,2,9,3,2,3,4,5,4
GEN1919,19,28,35,13,27,31,28,15,11,16,20,27
GEN1920,9,9,4,12,18,20,11,12,5,15,15,6
GEN1921,265,201,252,312,231,499,448,261,188,332,498,174
GEN1922,7,8,5,2,9,6,8,11,3,9,8,10
GEN1923,1068,599,614,974,941,1632,1164,581,419,1118,851,1056
GEN1924,16,25,20,23,11,28,23,11,16,27,36,17
GEN1925,38,59,61,57,43,145,84,103,102,148,94,52
GEN1926,102,82,137,148,252,277,217,121,148,375,494,329
GEN1927,60,44,71,82,74,176,110,52,108,128,81,112
GEN1928,152,166,174,64,185,424,430,220,248,471,301,235
GEN1929,13,11,15,32,7,14,23,11,18,28,20,16
GEN1930,3,3,1,1,1,0,0,3,5,1,3,0
GEN1931,34,44,50,60,65,103,51,21,35,88,57,15
GEN1932,5,4,5,11,5,10,7,2,4,13,5,6
GEN1933,29,25,15,27,19,25,36,19,33,26,27,28
GEN1934,265,144,96,428,165,618,790,185,273,609,424,283
GEN1935,36,31,31,52,26,55,135,21,48,40,35,62
GEN1936,17,14,13,22,19,45,27,12,20,33,24,27
GEN1937,8,5,16,7,13,14,20,4,12,16,9,10
GEN1938,16,26,56,35,28,43,72,37,38,52,51,33
GEN1939,37,55,48,43,46,112,67,32,47,33,51,47
GEN1940,4,6,7,3,5,3,5,7,3,10,7,11
GEN1941,85,83,56,149,150,78,197,77,107,186,208,113
GEN1942,5,9,12,7,2,29,11,9,13,18,25,11
GEN1943,89,68,117,109,111,66,105,45,139,222,103,87
GEN1944,28,15,21,34,9,36,68,17,26,24,57,30
GEN1945,161,219,241,408,321,421,261,137,234,541,216,244
GEN1946,374,182,196,128,220,528,373,221,251,498,544,209
GEN1947,40,42,52,81,35,133,112,41,47,95,73,58
GEN1948,54,32,50,39,55,138,54,44,26,49,85,42
GEN1949,117,74,126,127,121,163,191,184,138,127,201,71
GEN1950,441,514,376,419,472,965,1073,429,349,1047,1286,610
GEN1951,530,417,326,282,257,652,601,369,354,689,567,258
GEN1952,67,63,81,92,60,123,122,73,107,76,120,72
GEN1953,94,130,69,95,49,183,89,100,88,224,185,131
GEN1954,542,458,503,666,558,2012,1338,470,576,966,1375,973
GEN1955,5,5,7,8,2,15,9,3,9,16,8,3
GEN1956,133,106,197,142,178,211,157,80,309,184,169,140
GEN1957,27,8,9,10,12,34,14,2,23,41,17,17
GEN1958,462,351,702,499,592,892,992,577,371,949,517,557
GEN1959,15,26,39,21,30,42,44,32,34,70,24,50
GEN1960,47,53,39,41,82,101,77,51,54,103,105,36
GEN1961,14,7,3,6,10,38,14,6,8,16,23,13
GEN1962,34,47,76,76,34,149,275,166,171,327,358,182
GEN1963,130,231,140,172,223,488,174,97,152,286,187,148
GEN1964,566,1182,585,1603,921,1257,1184,865,1238,1875,1311,1242
GEN1965,10,16,1,4,21,11,8,18,13,8,12,16
GEN1966,29,52,32,26,11,41,69,18,30,36,46,45
GEN1967,44901,31692,28725,32407,35183,57105,29359,25615,22858,46557,56178,62004
GEN1968,227,383,227,320,174,420,451,191,325,324,438,334
GEN1969,33,47,57,58,71,143,105,41,68,121,73,77
GEN1970,175,110,193,211,190,198,273,169,85,328,228,72
GEN1971,0,1,0,0,0,2,2,3,1,1,2,2
GEN1972,801,866,744,1120,523,2027,1386,485,1023,1038,1441,994
GEN1973,84,61,86,91,67,228,126,92,90,156,186,104
GEN1974,7,3,5,6,5,10,6,8,4,12,16,17
GEN1975,284,287,673,394,304,709,545,469,318,771,806,395
GEN1976,27,16,15,26,16,44,34,23,25,58,47,28
GEN1977,10,10,10,1,13,17,14,10,19,11,22,9
GEN1978,80,99,149,135,73,280,856,532,409,987,451,644
GEN1979,136,79,124,65,66,184,277,179,80,159,243,177
GEN1980,24,19,49,20,50,40,66,35,27,36,97,47
GEN1981,61,53,33,38,93,156,121,45,100,151,76,72
GEN1982,4,7,16,11,5,22,11,5,5,11,10,12
GEN1983,4,10,4,11,8,16,9,4,6,11,10,3
GEN1984,343,272,208,291,296,512,285,171,336,406,412,315
GEN1985,415,409,613,577,486,1133,968,350,937,601,714,497
GEN1986,65,172,144,179,141,281,108,100,121,231,175,140
GEN1987,106,102,103,125,144,217,131,97,85,224,217,153
GEN1988,47,25,33,16,44,79,45,21,32,60,86,55
GEN1989,31,50,27,58,68,92,49,67,53,137,108,97
GEN1990,20,21,13,15,10,33,24,16,16,37,28,26
GEN1991,789,891,973,1070,1170,3802,1597,720,1261,1925,1864,1016
GEN1992,28,24,24,44,42,49,45,17,18,53,37,21
GEN1993,93,133,191,84,145,189,329,129,106,211,141,127
GEN1994,56,84,85,45,73,213,68,54,42,85,167,75
GEN1995,10,5,6,0,6,6,2,0,0,3,4,2
GEN1996,1036,1208,1154,1697,672,2192,1889,780,1260,2563,2569,2795
GEN1997,43,50,39,43,23,66,61,28,23,40,54,48
GEN1998,20,27,11,24,18,31,19,13,21,53,32,18
GEN1999,45,75,35,95,133,129,89,72,40,150,115,54
GEN2000,17,23,12,13,23,39,21,5,15,21,25,20
